Feature_Names,Compartment,Type,Specific,Definition,Map_Method,Structure_Specificity
Number nuclear pixels contained between theta 126<<144,Nuclei,Radial,Pixel Number Theta: 126-144,Number of nuclear pixels located between 126 and 144 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 144<<162,Nuclei,Radial,Pixel Number Theta: 144-162,Number of nuclear pixels located between 144 and 162 degree,Region Specific Map,Glom_Specific
Number nuclear pixels contained between theta 162<<180,Nuclei,Radial,Pixel Number Theta: 162-180,Number of nuclear pixels located between 162 and 180 degree,Region Specific Map,Glom_Specific
0.1 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.1 Nearest to Boundary,Count of nuclear pixels in nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.2 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.2 Nearest to Boundary,Count of nuclear pixels in 2nd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.3 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.3 Nearest to Boundary,Count of nuclear pixels in 3rd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.4 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.4 Nearest to Boundary,Count of nuclear pixels in 4th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.5 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.5 Nearest to Boundary,Count of nuclear pixels in 5th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.6 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.6 Nearest to Boundary,Count of nuclear pixels in 6th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.7 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.7 Nearest to Boundary,Count of nuclear pixels in 7th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.8 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.8 Nearest to Boundary,Count of nuclear pixels in 8th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.9 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,0.9 Nearest to Boundary,Count of nuclear pixels in 9th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
1 quantile of nuclear pixels from the boundary line,Nuclei,RelativeDistance,1.0 Nearest to Boundary,Count of nuclear pixels in 10th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.1 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.1 Nearest to Boundary,Count of PAS+ pixels in nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.2 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.2 Nearest to Boundary,Count of PAS+ pixels in 2nd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.3 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.3 Nearest to Boundary,Count of PAS+ pixels in 3rd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.4 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.4 Nearest to Boundary,Count of PAS+ pixels in 4th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.5 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.5 Nearest to Boundary,Count of PAS+ pixels in 5th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.6 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.6 Nearest to Boundary,Count of PAS+ pixels in 6th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.7 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.7 Nearest to Boundary,Count of PAS+ pixels in 7th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.8 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.8 Nearest to Boundary,Count of PAS+ pixels in 8th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.9 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,0.9 Nearest to Boundary,Count of PAS+ pixels in 9th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
1 quantile of PAS+ pixels from the boundary line,PAS+,RelativeDistance,1.0 Nearest to Boundary,Count of PAS+ pixels in 10th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.1 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.1 Nearest to Boundary,Count of luminal pixels in nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.2 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.2 Nearest to Boundary,Count of luminal pixels in 2nd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.3 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.3 Nearest to Boundary,Count of luminal pixels in 3rd nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.4 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.4 Nearest to Boundary,Count of luminal pixels in 4th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.5 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.5 Nearest to Boundary,Count of luminal pixels in 5th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.6 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.6 Nearest to Boundary,Count of luminal pixels in 6th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.7 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.7 Nearest to Boundary,Count of luminal pixels in 7th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.8 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.8 Nearest to Boundary,Count of luminal pixels in 8th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
0.9 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,0.9 Nearest to Boundary,Count of luminal pixels in 9th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
1 quantile of luminal pixels from the boundary line,Lumen,RelativeDistance,1.0 Nearest to Boundary,Count of luminal pixels in 10th nearest tenth to the boundary,Region Specific Map,Non_Structure_Specific
Degrees Per Node,Nuclei,Distribution,Degrees Per Node,The number of MST edges connecting each nucleus to adjacent nuclei.,Object Specific Map,Glom_Specific
Leaf Fraction,Nuclei,Distribution,Leaf Fraction,Ratio of nuclei in glomerulus with a degree of 1 to total number of nuclei.,Object Specific Map,Glom_Specific
Average edge length,Nuclei,Distribution,Average edge length,Average length of edges in MST,Similarity Map,Glom_Specific
Std Dev edge length,Nuclei,Distribution,Std Dev edge length,Standard deviation of edge length in MST,Deviation Map,Glom_Specific
Median edge length,Nuclei,Distribution,Median edge length,Median of edge length in MST,Similarity Map,Glom_Specific
Mean inter-vertex distance,Nuclei,Distribution,Mean inter-vertex distance,Mean distance between vertices in Voronoi Diagram,Similarity Map,Glom_Specific
Std Dev inter-vertex distance,Nuclei,Distribution,Std Dev inter-vertex distance,Standard deviation of distance between vertices in Voronoi Diagram,Deviation Map,Glom_Specific
Median inter-vertex distance,Nuclei,Distribution,Median inter-vertex distance,Median distance between vertices in Voronoi Diagram,Similarity Map,Glom_Specific
Mean ridge length,Nuclei,Distribution,Mean ridge length,Mean length of ridges in Voronoi Diagram,Similarity Map,Glom_Specific
Std Dev ridge length,Nuclei,Distribution,Std Dev ridge length,Standard deviation of ridge length in Voronoi Diagram,Deviation Map,Glom_Specific
Median ridge length,Nuclei,Distribution,Median ridge length,Median ridge length in Voronoi Diagram,Similarity Map,Glom_Specific
Mean region area,Nuclei,Distribution,Mean region area,Mean area of enclosed regions in Voronoi Diagram,Similarity Map,Glom_Specific
Std Dev region area,Nuclei,Distribution,Std Dev region area,Standard deviation of area of enclosed regions in Voronoi Diagram,Deviation Map,Glom_Specific
Median region area,Nuclei,Distribution,Median region area,Median area of enclosed regions in Voronoi Diagram,Similarity Map,Glom_Specific
Area(um^2),Global,Morphological,Area_um2,Total area contained within Bowman's Capsule excluding parietal epithelium. (measured in um^2),Object Specific Map,Glom_Specific
Convex Area (um^2),Global,Morphological,Convex Area,Area of glomerular convex hull,Object Specific Map,Glom_Specific
Perimeter (um),Global,Morphological,Perimeter,Perimeter of Bowman's Capsule,Object Specific Map,Glom_Specific
Solidity,Global,Morphological,Solidity,Ratio of glomerular area to glomerular convex hull area,Object Specific Map,Glom_Specific
Eccentricity,Global,Morphological,Eccentricity,Ratio of distance between foci of ellipse and major axis length.  Measure of glomerular roundness.,Object Specific Map,Glom_Specific
Average TBM thickness per perimeter length,Tubular Basement Membrane,Morphological,Average Thickness,Average thickness of the tubular basement membrane divided by the tubular perimeter,Similarity Map,Tubule_Specific
Maximum TBM thickness per perimeter length,Tubular Basement Membrane,Morphological,Max Thickness,Maximum thickness of the tubular basement membrane divided by the tubular perimeter,Similarity Map,Tubule_Specific
Minimum TBM thickness per perimeter length,Tubular Basement Membrane,Morphological,Min Thickness,Minimum thickness of the tubular basement membrane divided by the tubular perimeter,Similarity Map,Tubule_Specific
Average value of TBM distance transform,Tubular Basement Membrane,Morphological,Average Distance Transform,Average value of the tubular basement membrane distance transform.  A stand in for the average thickness of the tubular basement membrane.,Similarity Map,Tubule_Specific
Maximum value of TBM distance transform,Tubular Basement Membrane,Morphological,Max Distance Transform,Maximum value of the tubular basement membrane distance transform. Maximum thickness of tbm.,Similarity Map,Tubule_Specific
TBM textural energy,Tubular Basement Membrane,Texture,Energy,Measures the local variations in the GLCM.  Higher in regions of sharp intensity change.,Region Specific Map,Tubule_Specific
TBM textural correlation,Tubular Basement Membrane,Texture,Correlation,Measures the joint probability occurrence of the specified pixel pairs.  Higher in regions with a high number of repeated values.,Region Specific Map,Tubule_Specific
TBM textural contrast,Tubular Basement Membrane,Texture,Contrast,Provides the sum of squared elements in the GLCM.  Also known as uniformity or the angular second moment.  High in areas of high intensity,Region Specific Map,Tubule_Specific
TBM textural homogeneity,Tubular Basement Membrane,Texture,Homogeneity,Measures the closeness of the distribution of elements in the GLCM to the GLCM diagonal.  Higher in regions of generally uniform intensity.,Region Specific Map,Tubule_Specific
Mean of red values in TBM regions,Tubular Basement Membrane,Color,Mean Red,Mean red intensity in tubular basement membrane,Similarity Map,Tubule_Specific
Mean of green values in TBM regions,Tubular Basement Membrane,Color,Mean Green,Mean green intensity in tubular basement membrane,Similarity Map,Tubule_Specific
Mean of blue values in TBM regions,Tubular Basement Membrane,Color,Mean Blue,Mean blue intensity in tubular basement membrane,Similarity Map,Tubule_Specific
Standard deviation of red values in TBM regions,Tubular Basement Membrane,Color,Std Dev Red,Standard deviation of red values in tubular basement membrane,Deviation Map,Tubule_Specific
Standard deviation of green values in TBM regions,Tubular Basement Membrane,Color,Std Dev Green,Standard deviation of green values in tubular basement membrane,Deviation Map,Tubule_Specific
Standard deviation of blue values in TBM regions,Tubular Basement Membrane,Color,Std Dev Blue,Standard deviation of blue values in tubular basement membrane,Deviation Map,Tubule_Specific
Sum total TBM area,Tubular Basement Membrane,Morphological,Sum Areas,Total area of tubular basement membrane,Object Specific Map,Tubule_Specific
Average solidity of TBM,Tubular Basement Membrane,Morphological,Average Solidity,"Average solidity of tubular basement membrane, the ratio between convex area and total area.  Higher in tubules without many inclusions or indentations.",Similarity Map,Tubule_Specific
Mean distance of TBM object centroids from structure centroid,Tubular Basement Membrane,RelativeDistance,Mean Distance to Structure Centroid,Mean distance of tubular basement membrane objects to the center of the tubule,Similarity Map,Tubule_Specific
Mean of mean distances of TBM object centroids from structure boundary,Tubular Basement Membrane,RelativeDistance,Mean Mean Distance to Structure Boundary,Mean distance between tubular basement membrane object centroids and the boundaries of the tubule,Similarity Map,Tubule_Specific
Mean of maximum distances of TBM object centroids from structure boundary,Tubular Basement Membrane,RelativeDistance,Mean Max Distance to Structure Boundary,Mean of distances between tubular basement membrane object centroids and the furthest away boundary point.,Similarity Map,Tubule_Specific
Mean of minimum distances of TBM object centroids from structure boundary,Tubular Basement Membrane,RelativeDistance,Mean Min Distance to Structure Boundary,Mean of distances between tubular basement membrane object centroids and the closest boundary point,Similarity Map,Tubule_Specific
Mean of mean distances of TBM object centroids from themselves,Tubular Basement Membrane,RelativeDistance,Mean Mean Distance to Themselves,Mean of distances between tubular basemement membrane object centroids and points within each tubular basement membrane object,Similarity Map,Tubule_Specific
Mean of maximum distances of TBM object centroids from themselves,Tubular Basement Membrane,RelativeDistance,Mean Max Distance to Themselves,Mean of distances between tubular basement membrane object centroids and the furthest away points in each object,Similarity Map,Tubule_Specific
Mean of minimum distances of TBM object centroids from themselves,Tubular Basement Membrane,RelativeDistance,Mean Min Distance to Themselves,Mean of distances between tubular basement membrane object centroids and the closest tubular basement membrane object,Similarity Map,Tubule_Specific
Average ITO thickness per perimeter length,Intra-Tubular Objects,Morphological,Average Thickness,"Average thickness of intra-tubular object divided by perimeter, measured using distance transform",Similarity Map,Tubule_Specific
Maximum ITO thickness per perimeter length,Intra-Tubular Objects,Morphological,Max Thickness,"Maximum thickness of intra-tubular object divided by perimeter, measured using distance transform",Similarity Map,Tubule_Specific
Minimum ITO thickness per perimeter length,Intra-Tubular Objects,Morphological,Min Thickness,"Minimum thickness of intra-tubular object divided by perimeter, measured using distance transform",Similarity Map,Tubule_Specific
Average value of ITO distance transform,Intra-Tubular Objects,Morphological,Average Distance Transform,"Average value of intra-tubular object distance transform, average thickness.",Similarity Map,Tubule_Specific
Maximum value of ITO distance transform,Intra-Tubular Objects,Morphological,Max Distance Transform,"Maximum value of intra-tubular object distance transform, maximum object thickness.",Similarity Map,Tubule_Specific
ITO textural energy,Intra-Tubular Objects,Texture,Energy,Measures the local variations in the GLCM.  Higher in regions of sharp intensity change.,Region Specific Map,Tubule_Specific
ITO textural correlation,Intra-Tubular Objects,Texture,Correlation,Measures the joint probability occurrence of the specified pixel pairs.  Higher in regions with a high number of repeated values.,Region Specific Map,Tubule_Specific
ITO textural contrast,Intra-Tubular Objects,Texture,Contrast,Provides the sum of squared elements in the GLCM.  Also known as uniformity or the angular second moment.  High in areas of high intensity,Region Specific Map,Tubule_Specific
ITO textural homogeneity,Intra-Tubular Objects,Texture,Homogeneity,Measures the closeness of the distribution of elements in the GLCM to the GLCM diagonal.  Higher in regions of generally uniform intensity.,Region Specific Map,Tubule_Specific
Mean of red values in ITO regions,Intra-Tubular Objects,Color,Mean Red,Mean red intensity in intra-tubular objects,Similarity Map,Tubule_Specific
Mean of green values in ITO regions,Intra-Tubular Objects,Color,Mean Green,Mean green intensity in intra-tubular objects,Similarity Map,Tubule_Specific
Mean of blue values in ITO regions,Intra-Tubular Objects,Color,Mean Blue,Mean blue intensity in intra-tubular objects,Similarity Map,Tubule_Specific
Standard deviation of red values in ITO regions,Intra-Tubular Objects,Color,Std Dev Red,Standard deviation of red values in intra-tubular objects,Deviation Map,Tubule_Specific
Standard deviation of green values in ITO regions,Intra-Tubular Objects,Color,Std Dev Green,Standard deviation of green values in intra-tubular objects,Deviation Map,Tubule_Specific
Standard deviation of blue values in ITO regions,Intra-Tubular Objects,Color,Std Dev Blue,Standard deviation of blue values in intra-tubular objects,Deviation Map,Tubule_Specific
Sum total ITO area,Intra-Tubular Objects,Morphological,Sum Areas,Total area of intra-tubular objects,Object Specific Map,Tubule_Specific
Average solidity of ITO,Intra-Tubular Objects,Morphological,Average Solidity,"Average solidity of intra-tubular objects, measured using ratio between convex area and structure area.  Higher in objects without inclusions or indentations to boundary.",Similarity Map,Tubule_Specific
Mean distance of ITO object centroids from structure centroid,Intra-Tubular Objects,RelativeDistance,Mean Distance to Structure Centroid,Mean distance of intra-tubular objects to center of tubule,Similarity Map,Tubule_Specific
Mean of mean distances of ITO object centroids from structure boundary,Intra-Tubular Objects,RelativeDistance,Mean Mean Distance to Structure Boundary,Mean of mean distances of intra-tubular objects to the boundary of the tubule,Similarity Map,Tubule_Specific
Mean of maximum distances of ITO object centroids from structure boundary,Intra-Tubular Objects,RelativeDistance,Mean Max Distance to Structure Boundary,Mean of distances of intra-tubular objects to the furthest away boundary,Similarity Map,Tubule_Specific
Mean of minimum distances of ITO object centroids from structure boundary,Intra-Tubular Objects,RelativeDistance,Mean Min Distance to Structure Boundary,Mean of distances of intra-tubular objects to the closest structure boundary,Similarity Map,Tubule_Specific
Mean of mean distances of ITO object centroids from themselves,Intra-Tubular Objects,RelativeDistance,Mean Mean Distance to Themselves,Mean of distances of intra-tubular objects to other intra-tubular objects,Similarity Map,Tubule_Specific
Mean of maximum distances of ITO object centroids from themselves,Intra-Tubular Objects,RelativeDistance,Mean Max Distance to Themselves,Mean of distances of intra-tubular objects to furthest away intra-tubular object,Similarity Map,Tubule_Specific
Mean of minimum distances of ITO object centroids from themselves,Intra-Tubular Objects,RelativeDistance,Mean Min Distance to Themselves,Mean of distances of intra-tubular objects to closest intra-tubular object,Similarity Map,Tubule_Specific
Tubular compactness,Global,Morphological,Compactness,Ratio of the area of the tubule to the area of a circle with the same perimeter,Object Specific Map,Tubule_Specific
Equivalent diameter of a circle with measured structure area,Global,Morphological,Equivalent Diameter with Same Area,Diameter of a circle with the same area as tubule,Object Specific Map,Tubule_Specific
Tubule major axis length,Global,Morphological,Major Axis Length,Largest distance across tubule,Object Specific Map,Tubule_Specific
Tubule minor axis length,Global,Morphological,Minor Axis Length,Smallest distance across tubule ,Object Specific Map,Tubule_Specific
Tubular fiber length,Global,Morphological,Fiber Length,Length of a line passing through the middle of the tubule from end to end,Object Specific Map,Tubule_Specific
Tubular fiber width,Global,Morphological,Fiber Width,Average distance on either side of line passing down center of tubule,Object Specific Map,Tubule_Specific
Tubular curl,Global,Morphological,Curl,Amount of deviation of the tubule from a straight line,Object Specific Map,Tubule_Specific
Minimum of luminal pixels weighted inversely by distance from structure boundary,Lumen,RelativeDistance,Min Pixel Inverse by Structure Boundary Distance,Minimum luminal pixel distance from structure boundary,Similarity Map,Tubule_Specific
Maximum of luminal pixels weighted inversely by distance from structure boundary,Lumen,RelativeDistance,Max Pixel Inverse by Structure Boundary Distance,Maximum luminal pixel distance from structure boundary,Similarity Map,Tubule_Specific
Mean of luminal pixels weighted inversely by distance from structure boundary,Lumen,RelativeDistance,Mean Pixel Inverse by Structure Boundary Distance,Mean luminal pixel distance from structure boundary,Similarity Map,Tubule_Specific
Median of luminal pixels weighted inversely by distance from structure boundary,Lumen,RelativeDistance,Median Pixel Inverse by Structure Boundary Distance,Median luminal pixel distance from structure boundary,Similarity Map,Tubule_Specific
Standard deviation of luminal pixels weighted inversely by distance from structure boundary,Lumen,RelativeDistance,Std Dev Pixel Inverse by Structure Boundary Distance,Standard deviation luminal pixel distance from structure boundary,Deviation Map,Tubule_Specific
Minimum of PAS+ pixels weighted inversely by distance from structure boundary,PAS+,RelativeDistance,Min Pixel Inverse by Structure Boundary Distance,Minimum PAS+ pixel distance from structure boundary,Similarity Map,Tubule_Specific
Maximum of PAS+ pixels weighted inversely by distance from structure boundary,PAS+,RelativeDistance,Max Pixel Inverse by Structure Boundary Distance,Maximum PAS+ pixel distance from structure boundary,Similarity Map,Tubule_Specific
Mean of PAS+ pixels weighted inversely by distance from structure boundary,PAS+,RelativeDistance,Mean Pixel Inverse by Structure Boundary Distance,Mean PAS+ pixel distance from structure boundary,Similarity Map,Tubule_Specific
Median of PAS+ pixels weighted inversely by distance from structure boundary,PAS+,RelativeDistance,Median Pixel Inverse by Structure Boundary Distance,Median PAS+ pixel distance from structure boundary,Similarity Map,Tubule_Specific
Standard deviation of PAS+ pixels weighted inversely by distance from structure boundary,PAS+,RelativeDistance,Std Dev Pixel Inverse by Structure Boundary Distance,Standard deviation PAS+ pixel distance from structure boundary,Deviation Map,Tubule_Specific
Maximum value of PAS+ distance transform,PAS+,Morphological,Max Distance Transform,Maximum thickness of PAS+ areas,Similarity Map,Tubule_Specific
Maximum value of luminal distance transform,Lumen,Morphological,Max Distance Transform,Maximum thickness of Luminal areas,Similarity Map,Tubule_Specific
Maximum value of nuclear distance transform,Nuclei,Morphological,Max Distance Transform,Maximum thickness of nuclear areas,Similarity Map,Tubule_Specific
Maximum value of structure distance transform,Global,Morphological,Max Distance Transform,Maximum of structural area,Similarity Map,Tubule_Specific
Maximum of mean pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Max Mean Pixel Distance from Boundary,Mean of pixel distance from each nucleus to the furthest boundary,Similarity Map,Tubule_Specific
Maximum of minimum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Max Min Pixel Distance from Boundary,Max of pixel distance from each nucleus to the closest boundary,Similarity Map,Tubule_Specific
Maximum of maximum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Max Max Pixel Distance from Boundary,Max of pixel distance from each nucleus to the furthest boundary,Similarity Map,Tubule_Specific
Mean of mean pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Mean Mean Pixel Distance from Boundary,Max of pixel distance from each nucleus to the average boundary distance,Similarity Map,Tubule_Specific
Mean of minimum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Mean Min Pixel Distance from Boundary,Mean of pixel distance from each nucleus to the closest boundary,Similarity Map,Tubule_Specific
Mean of maximum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Mean Max Pixel Distance from Boundary,Mean of pixel distance from each nucleus to the furthest boundary,Similarity Map,Tubule_Specific
Minimum of mean pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Min Mean Pixel Distance from Boundary,Minimum of pixel distance from each nuclus to the average boundary distance,Similarity Map,Tubule_Specific
Minimum of minimum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Min Min Pixel Distance from Boundary,Minimum of pixel distance from each nucleus to the closest boundary,Similarity Map,Tubule_Specific
Minimum of maximum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Min Max Pixel Distance from Boundary,Minimum of pixel distance from each nuclus to the furthest boundary,Similarity Map,Tubule_Specific
Variance of mean pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Variance Mean Pixel Distance from Boundary,Variance in pixel distance from each nucleus to the average boundary distance,Deviation Map,Tubule_Specific
Variance of minimum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Variance Min Pixel Distance from Boundary,Variance in pixel distance from each nucleus to the closest boundary,Deviation Map,Tubule_Specific
Variance of maximum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Variance Max Pixel Distance from Boundary,Variance in pixel distance from each nucleus to the furthest boundary,Deviation Map,Tubule_Specific
Median of mean pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Median Mean Pixel Distance from Boundary,Median pixel distance from each nuclus to the average boundary distance,Similarity Map,Tubule_Specific
Median of minimum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Median Min Pixel Distance from Boundary,Median pixel distance from each nucleus to the closest boundary,Similarity Map,Tubule_Specific
Median of maximum pixel distance from boundary per nucleus,Nuclei,RelativeDistance,Median Max Pixel Distance from Boundary,Median pixel distance from each nucleus to the furthest boundary,Similarity Map,Tubule_Specific
Maximum of mean pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Max Mean Pixel Distance from Boundary,Maximum pixel distance from each tubular basement membrane object to the average structure boundary distance,Similarity Map,Tubule_Specific
Maximum of minimum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Max Min Pixel Distance from Boundary,Maximum pixel distance from each tubular basement membrane object to the closest structure boundary,Similarity Map,Tubule_Specific
Maximum of maximum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Max Max Pixel Distance from Boundary,Maximum pixel distance from each tubular basement membrane object to the furthest structure boundary,Similarity Map,Tubule_Specific
Mean of mean pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Mean Mean Pixel Distance from Boundary,Mean pixel distance from each tubular basement membrane object to the average distance structure boundary,Similarity Map,Tubule_Specific
Mean of minimum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Mean Min Pixel Distance from Boundary,Mean pixel distance from each tubular basement membrane object to the closest boundary,Similarity Map,Tubule_Specific
Mean of maximum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Mean Max Pixel Distance from Boundary,Mean pixel distance from each tubular basement membrane object to the furthest boundary,Similarity Map,Tubule_Specific
Minimum of mean pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Min Mean Pixel Distance from Boundary,Minimum pixel distance from each tubular basement membrane object to the average structure boundary,Similarity Map,Tubule_Specific
Minimum of minimum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Min Min Pixel Distance from Boundary,Minimum pixel distance from each tubular basement membrane object to the closest structure boundary,Similarity Map,Tubule_Specific
Minimum of maximum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Min Max Pixel Distance from Boundary,Minimum pixel distance from each tubular basement membrane object to the furthest structure boundary,Similarity Map,Tubule_Specific
Variance of mean pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Variance Mean Pixel Distance from Boundary,Variance in pixel distance from each tubular basement membrane object to the average structure boundary,Deviation Map,Tubule_Specific
Variance of minimum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Variance Min Pixel Distance from Boundary,Variance in pixel distance from each tubular basement membrane object to the closest structure boundary,Deviation Map,Tubule_Specific
Variance of maximum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Variance Max Pixel Distance from Boundary,Variance in pixel distance from each tubular basement membrane object to the furthest boundary,Deviation Map,Tubule_Specific
Median of mean pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Median Mean Pixel Distance from Boundary,Median in pixel distance from each tubular basement membrane object to the average structure boundary,Similarity Map,Tubule_Specific
Median of minimum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Median Min Pixel Distance from Boundary,Median in pixel distance from each tubular basement membrane object to the closest structure boundary,Similarity Map,Tubule_Specific
Median of maximum pixel distance from boundary per TBM object,Tubular Basement Membrane,RelativeDistance,Median Max Pixel Distance from Boundary,Median in pixel distance from each tubular basement membrane object to the furthest structure boundary,Similarity Map,Tubule_Specific
Maximum of mean pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Max Mean Pixel Distance from Boundary,Maximum pixel distance from each intra-tubular object to the average structure boundary,Similarity Map,Tubule_Specific
Maximum of minimum pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Max Min Pixel Distance from Boundary,Maximum pixel distance from each intra-tubular object to the closest structure boundary,Similarity Map,Tubule_Specific
Maximum of maximum pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Max Max Pixel Distance from Boundary,Maximum pixel distance from each intra-tubular object to the furthest structure boundary,Similarity Map,Tubule_Specific
Mean of mean pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Mean Mean Pixel Distance from Boundary,Mean pixel distance from each intra-tubular object to the average structure boundary,Similarity Map,Tubule_Specific
Mean of minimum pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Mean Min Pixel Distance from Boundary,Mean pixel distance from each intra-tubular object to the closest structure boundary,Similarity Map,Tubule_Specific
Mean of maximum pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Mean Max Pixel Distance from Boundary,Mean pixel distance from each intra-tubular object to the furthest structure boundary,Similarity Map,Tubule_Specific
Minimum of mean pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Min Mean Pixel Distance from Boundary,Minimum pixel distance from each intra-tubular object to the average structure boundary,Similarity Map,Tubule_Specific
Minimum of minimum pixel distance from boundary per ITO,Intra-Tubular Objects,RelativeDistance,Min Min Pixel Distance from Boundary,Minimum pixel distance from each intra-tubular object to the closest structure boundary,Similarity Map,Tubule_Specific
